Ciclo;ErrorEntrenamiento;ErrorValidacion
0;0.0346447796216;0.0399889328479
1;0.0233750791153;0.0246813413491
2;0.0198039353625;0.0201340716373
3;0.0184512395651;0.0186187569512
4;0.0178673467027;0.0180713662273
5;0.0175842270638;0.0178571929065
6;0.0174295272165;0.017762312968
7;0.0173342359555;0.0177108706973
8;0.0172688815331;0.0176753929589
9;0.0172200665152;0.0176459684994
10;0.0171812744577;0.017619141104
11;0.0171490944486;0.0175938034717
12;0.017121600755;0.017569666799
13;0.0170976238981;0.0175466967739
14;0.0170764052365;0.0175249143014
15;0.0170574237896;0.0175043323887
16;0.0170403042015;0.0174849419473
17;0.0170247649693;0.0174667135437
18;0.0170105877627;0.0174496030564
19;0.0169975983946;0.0174335572002
20;0.0169856545537;0.0174185178462
21;0.0169746376344;0.0174044250858
22;0.016964447142;0.0173912192808
23;0.0169549967641;0.01737884237
24;0.0169462115479;0.0173672386596
25;0.0169380258269;0.0173563552652
26;0.0169303816636;0.0173461423245
27;0.0169232276541;0.0173365530612
28;0.0169165179917;0.0173275437541
29;0.016910211717;0.0173190736479
30;0.0169042721065;0.017311104829
31;0.0168986661653;0.0173036020812
32;0.0168933641994;0.0172965327332
33;0.0168883394506;0.0172898665018
34;0.0168835677806;0.0172835753373
35;0.0168790273966;0.0172776332731
36;0.016874698609;0.0172720162805
37;0.0168705636184;0.0172667021307
38;0.0168666063255;0.0172616702638
39;0.0168628121628;0.0172569016654
40;0.0168591679427;0.0172523787514
41;0.0168556617227;0.017248085259
42;0.0168522826836;0.0172440061463
43;0.0168490210203;0.0172401274979
44;0.0168458678435;0.0172364364381
45;0.016842815091;0.0172329210493
46;0.016839855448;0.0172295702977
47;0.0168369822752;0.0172263739635
48;0.0168341895437;0.0172233225772
49;0.0168314717763;0.0172204073605
50;0.0168288239949;0.0172176201717
51;0.0168262416726;0.017214953456
52;0.0168237206904;0.0172124001987
53;0.0168212572985;0.0172099538833
54;0.0168188480811;0.0172076084524
55;0.0168164899243;0.0172053582714
56;0.0168141799877;0.0172031980961
